	en	fr	es	el	it	ar	de	ja	hu	pt
navbar_tools	Tools	Outils	Herramientas	Εργαλεία	Strumenti	الأدوات	Werkzeuge	ツール	Eszközök	Ferramentas
navbar_about	About	A propos	Sobre nosotros	Σχετικά με	Chi siamo	حول	Über uns	紹介	Névjegy	Sobre nós
navbar_tuto	Tutorial	Tutoriel	Guía	Οδηγός	Tutorial	الدورة التعليمية	Anleitung	チュートリアル	Oktatóanyag	Guia
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	تحليل الشبكة الاجتماعية - تويتر	Netzwerkanalyse Twitter/X	TwitterのSNA	Twitter SNA.	Twitter SNA.
navbar_classroom	Classroom	Salle de cours	Aula	ΣΧΟΛΙΚΗ ΑΙΘΟΥΣΑ	Aula	قاعة الدراسة	Klassenzimmer	教室	Osztályterem	Sala de aula
navbar_quiz	Demo	Demo	Demo	Διαδήλωση	Demo	العرض التوضيحي	Demo	デモ	Bemutató	Demonstração
navbar_analysis	Video analysis	Analyse	Video análisis	Ανάλυση	Analisi video	تحليل الفيديو	Videoanalyse	動画解析	Videóelemzés	Análise de vídeo
navbar_keyframes	Keyframes	Images clés	Fotogramas clave	Χαρακτηριστικά καρέ	Fotogrammi chiave	إطارات المفاتيح	Keyframes	キーフレーム	Kulcskockák	Quadros-chave
navbar_thumbnails	Thumbnails	Imagettes	Miniaturas	Μικρογραφίες	Thumbnails	الصورة المصغرة	Thumbnails	サムネイル	Bélyegképek	Miniaturas
navbar_twitter	X. search	Recherche X.	Búsqueda X.	Αναζήτηση στο X	X ricerca	بحث عبر تويتر	X. Suche	X.検索	X. keresés	Busca X.
navbar_magnifier	Magnifier	Loupe	Lupa	Μεγεθυντικός φακός	Lente d'ingrandimento	المكبر	Lupe	拡大レンズ	Nagyító	Lupa
navbar_metadata_video	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيانات الوصفية	Metadaten	メタデータ	Metaadatok	Metadados
navbar_metadata_image	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيانات الوصفية	Metadaten	メタデータ	Metaadatok	Metadados
navbar_rights	Video rights	Droits vidéo	Derechos video	Δικαιώματα βίντεο	Copyright video	حقوق الفيديو	Videorechte	動画の権利	Videójogok	Direitos do vídeo
navbar_forensic	Forensic	Forensic	Forensic	Αυθεντικότητας Εικόνων	Forensic	التحقق الرقمي	Forensische Untersuchung	フォレンジック解析	Forensic	Forensic
navbar_factCheck	Fact Check	Factuel	Factual	Έλεγχος γεγονότων	Fact-checking	تدقيق	Faktencheck	ファクトチェック	Tényellenőrzés	Factual
navbar_covidsearch	Factcheck search	Recherche de Factchecks	Búsqueda de chequeos	Αναζήτηση Factcheck	Ricerca di factchecks	بحث التحقق من المعلومات	Faktenchecks-Suche	ファクトチェック検索	Tényellenőrzések keresése	Busca de checagens
navbar_assistant	Assistant	Assistant	Asistente	Βοηθός	Assistente	المساعد	Assistent	アシスタント	Asszisztens	Assistente
navbar_xnetwork	Xnetwork	Xnetwork	Xnetwork	Xnetwork	Xnetwork	Xnetwork	Xnetwork	Xネットワーク	Xnetwork	Xnetwork
navbar_mgt	Machine Generated Text	Texte généré par IA	Texto generado por IA	Κείμενο που δημιουργήθηκε από τεχνητή νοημοσύνη	Testo generato dall’IA	نص تم إنشاؤه بواسطة الذكاء الاصطناعي	Text von KI generiert	AI生成テキスト	Mesterséges intelligencia által generált szöveg	Texto gerado por IA
navbar_ocr	OCR	OCR	OCR	OCR	OCR	التعرف البصري على الحروف	Texterkennung	OCR	OCR	OCR
navbar_gif	CheckGif	CheckGif	CheckGif	CheckGif	CheckGif	تحقق من Gif	Checkgif	CheckGif	CheckGif	CheckGif
navbar_disinfo_deck	Disinformation Monitoring Dashboard	Tableau de bord de surveillance de la désinformation	Panel de monitoreo de desinformación	Πίνακας παρακολούθησης παραπληροφόρησης	Cruscotto di monitoraggio della disinformazione	لوحة مراقبة المعلومات المضللة	Überwachungs-Dashboard für Desinformation	偽情報監視ダッシュボード	Dezinformációfigyelő irányítópult	Painel de monitoramento de desinformação
navbar_archiving	Archiving	Archivage	Archivar	Αρχειοθέτηση	Archiviazione	الأرشفة	Archivierung	アーカイブ	Archiválás	Arquivar
cookies_decline	Decline	Refuser	Rechazar	Aπόρριψη	Rifiutare	رفض	ABLEHNEN	拒否	Elutasítás	Recusar
cookies_accept	Accept	Accepter	Aceptar	Αποδοχή	Accettare	قبول	AKZEPTIEREN	許可	Elfogadás	Aceitar
cookies_message	We use your browser local storage for your preferences (language, features) to make it work properly. We do not use any cookies : therefore no personal data will be saved and your browsing data will not be tracked. Nevertheless, we need your consent to use Matomo for the sole purpose of understanding which tools are being used and how, in order to enhance the verification plugin. If you do not consent, Matomo will be disabled as well as your preferences when you close your session.	Cette extension utilise le stockage local de votre navigateur afin d'y stocker vos préférences (langue, outils). Nous n'utilisons pas de cookies : aucune donnée personnelle (y compris vos données de navigation) n'est enregistrée. Nous avons en revanche besoin de votre autorisation pour utiliser Matomo, uniquement pour mieux comprendre les usages des outils de vérification afin d'améliorer le plugin. Si vous ne donnez pas votre autorisation, Matomo sera désactivé ainsi que vos paramètres si vous relancer une nouvelle session.	El plugin utiliza el almacenamiento local de su navegador para conservar sus preferencias (lengua, herramientas). No usamos cookies, no se guardan datos personales y tampoco datos de su navegación. Usamos en cambio Matomo con el único objetivo de entender mejor el uso de las herramientos y usar ese conocimiento para mejorar el plugin. Por lo tanto, necesitamos su autorización. Si no da su consentimiento, Matomo será desactivado y tambien sus preferencias si cierra su sessión.	Χρησιμοποιούμε τον τοπικό αποθηκευτικό χώρο του προγράμματος περιήγησης για τις προτιμήσεις σας (γλώσσα, λειτουργίες), ώστε να λειτουργεί σωστά. Δεν χρησιμοποιούμε cookies : επομένως δεν αποθηκεύονται προσωπικά δεδομένα και δεν παρακολουθούνται τα δεδομένα περιήγησής σας. Ωστόσο, χρειαζόμαστε τη συγκατάθεσή σας για να χρησιμοποιήσουμε το Matomo με μοναδικό σκοπό να κατανοήσουμε ποια εργαλεία χρησιμοποιούνται και πώς, προκειμένου να βελτιώσουμε το πρόσθετο επαλήθευσης. Εάν δεν συναινέσετε, το Matomo θα απενεργοποιηθεί καθώς και οι προτιμήσεις σας όταν κλείσετε τη συνεδρία σας.	Utilizziamo la memoria locale del browser per le tue preferenze (lingua, funzionalità) per farlo funzionare correttamente. Non usiamo alcun cookie: pertanto nessun dato personale verrà salvato e i dati di navigazione non saranno tracciati. Tuttavia, abbiamo bisogno del tuo consenso a utilizzare Google Analytics al solo scopo di comprensione quali strumenti vengono utilizzati e come, al fine di migliorare il plug-in di verifica. Se non acconsenti, Google Analytics sarà disabilitato così come le tue preferenze quando chiudi la sessione.	نحن نستخدم التخزين المحلي للمتصفح لتفضيلاتك (اللغة والميزات) لجعله يعمل بشكل صحيح. لا نستخدم أي ملفات تعريف الارتباط: وبالتالي لن يتم حفظ أي بيانات شخصية ولن يتم تتبع بيانات التصفح الخاصة بك. ومع ذلك، نحتاج إلى موافقتك على استخدام Matomo للغرض الوحيد المتمثل في فهم الأدوات التي يتم استخدامها، من أجل تحسين المكون الإضافي للتحقق. إذا لم توافق، فسيتم تعطيل Matomo وكذلك تفضيلاتك عند إغلاق جلستك.	Wir verwenden den lokalen Speicher Ihres Browsers für Ihre Präferenzen (Sprache, Funktionen), damit er richtig funktioniert. Wir verwenden keine Cookies: Es werden also keine persönlichen Daten gespeichert und Ihr Surfverhalten wird nicht nachverfolgt. Dennoch benötigen wir Ihre Zustimmung zur Nutzung von Matomo zu dem alleinigen Zweck, zu verstehen, welche Tools wie genutzt werden, um das Verifizierungs-Plugin zu verbessern. Wenn Sie nicht zustimmen, wird Matomo deaktiviert ebenso wie Ihre Einstellungen, wenn Sie Ihre Sitzung schließen	ブラウザが適切に動作するよう、ユーザーの設定 (言語、機能)に合わせてブラウザーのローカルストレージを使用します。我々は Cookie を使用しません。したがって個人データは保存されず、閲覧データは追跡されません。ただしプラグインを強化するために、どのツールがどのように使用されているかを理解するという唯一の目的で Matomo を使用することに同意する必要があります。同意されない場合、セッションを閉じるときに Matomo は設定とともに無効になります。	A böngésző helyi tárhelyét használjuk a beállításaihoz (nyelv, funkciók), hogy megfelelően működjön. Nem használunk sütiket: ezért nem kerülnek személyes adatok mentésre, és a böngészési adatait sem követjük nyomon. Mindazonáltal szükségünk van az Ön hozzájárulására a Matomo használatához, kizárólag annak megértése céljából, hogy mely eszközöket és hogyan használják, hogy javíthassuk az ellenőrző bővítményt. Ha nem járul hozzá, a Matomo, valamint a beállításai is letiltásra kerülnek a munkamenet bezárásakor.	O plugin utiliza o armazenamento local do seu navegador para conservar suas preferências (língua, ferramentas). Não usamos cookies, nenhum dado pessoal é salvo e nem dados da sua navegação. Usamos, em vez disso, Matomo com o único objetivo de entender melhor o uso das ferramentas e usar esse conhecimento para melhorar o plugin. Portanto, precisamos da sua autorização. Se você não der seu consentimento, Matomo será desativado e também suas preferências se fechar sua sessão.
navbar_analysis_image	Image Analysis	Analyse d'image	Análisis de Imagen	Ανάλυση εικόνας	Analisi dell'immagine	تحليل الصور	Bildanalyse	画像解析	Képelemzés	Análise de Imagem
navbar_analysis_video	Video Analysis	Analyse Vidéo	Análisis de Vídeo	Βίντεο ανάλυση	Analisi video	تحليل الفيديو	Videoanalyse	動画解析	Videóelemzés	Análise de Vídeo
navbar_twitter_crowdtangle	CSV Analysis	Analyse CSV	Analisis CSV	Ανάλυση CSV	Analisi CSV	تحليل CSV	CSV Analyse	CSV分析	CSV-elemzés	Análise CSV
navbar_synthetic_image_detection	Synthetic image	Images synthétiques	Imágenes sintéticas	Συνθετική εικόνα	Immagine sintetica	صورة اصطناعية	Synthetische Medien	合成画像	Szintetikus kép	Imagens sintéticas
navbar_loccus	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya
navbar_semantic_search	Fact Check Semantic Search	Recherche sémantique de Fact Check	Búsqueda semántica de Fact Check	Σημασιολογική αναζήτηση του Fact Check	Ricerca semantica di Fact Check	بحث دلالي لـ Fact Check	Semantische Suche von Fact Check	ファクトチェックセマンティック検索	Tényellenőrző szemantikus keresés	Busca semântica de Verificação de Fatos
navbar_deepfake_image	Face swap	Échange de visage	Intercambio de caras	Ανταλλαγή προσώπου	Scambio di volti	تبديل الوجه	Gesichtstausch	フェイススワップ	Arc csere (Face swap)	Troca de rostos
navbar_geolocation	Geolocalizer	Géolocalisation	Geolocalizador	Geolocalizer	Geolocalizzazione	تحديد الموقع الجغرافي	Geolokalisierung	ジオローカライザー	Geolokátor	Geolocalizador
navbar_verification	Verification	Vérification	Verificación	Επαλήθευση	Verifica	تحقُق	Überprüfung	検証	Ellenőrzés	Verificação
navbar_verification_short	Verifi...	Vérifi...	Verifi...	Επαλή...	Verifi...	verifi ...	Verifi ...	検証...	Ellenőrzés...	Verifi...
navbar_learning	Learning	Apprendre	Aprender	Μάθηση	Apprendimento	التعلم	Lernen	学ぶ	Oktatás	Aprender
navbar_learning_short	Learning	Appre...	Aprend...	Μάθηση	Apprend...	التعلم	Lernen	学ぶ	Oktatás	Aprend...
navbar_more	More	Plus	Más	Περισσότερα	Più	المزيد	Mehr	さらに表示	Több	Mais
navbar_more_short	More	Plus	Más	Περισσ...	Di più	المزيد	Mehr	さらに表示	Több	Mais
navbar_deepfake_video	Deepfake	Deepfake	Deepfake	Deepfake	Deepfake	تزييف عميق	Deepfake	ディープフェイク	Deepfake	Deepfake
navbar_category_general	General	Général	General	Γενικά	Generale	عام	Allgemein	全般	Általános	Geral
navbar_category_video	Video	Vidéo	Video	βίντεο	Video	فيديو	Video	動画	Videó	Vídeo
navbar_category_image	Image	Image	Imagen	Εικόνα	Immagine	صورة	Bild	画像	Kép	Imagem
navbar_category_audio	Audio	Audio	Audio	Ήχος	Audio	صوت	Audio	音声	Hang	Áudio
navbar_category_search	Search	Recherche	Busqueda	Αναζήτηση	Ricerca	بحث	Suchen	検索	Keresés	Busca
navbar_category_data	Data analysis	Analyse des données	Análisis de datos	Ανάλυση δεδομένων	Analisi dei dati	تحليل البيانات	Datenanalyse	データ解析	Adat elemzés	Análise de dados
navbar_category_other	Other tools	Autres outils	Otras herramientas	Άλλα εργαλεία	Altri strumenti	أدوات أخرى	Andere Werkzeuge	その他のツール	Egyéb eszközök	Outras ferramentas
navbar_collapse	Hide	Masquer	Ocultar	Απόκρυψη	Nascondi	إخفاء	Einklappen	非表示	Elrejtés	Ocultar
navbar_c2pa	Provenance (C2PA)	Provenance (C2PA)	Procedencia (C2PA)	Προέλευση (C2PA)	Provenienza (C2PA)	الأصل (C2PA)	Provenienz (C2PA)	出所情報(C2PA)	Forrás (C2PA)	Procedência (C2PA)
color_mode_system	System	Système	Sistema	Σύστημα	Sistema	نظام	System	システム	Rendszer	Sistema
color_mode_light	Light	Clair	Claro	Φωτεινό	Chiaro	فاتح	Hell	ライト	Világos	Claro
color_mode_dark	Dark	Sombre	Oscuro	Σκούρο	Scuro	داكن	Dunkel	ダーク	Sötét	Escuro
quiz_unlock_explanations	Unlock Interactive explanations	Déverrouiller les explications de interactif	Desbloquear las explicaciones de la prueba	Ξεκλείδωμα διαδραστικών εξηγήσεων	Sblocca spiegazioni interattive	فتح التفسيرات التفاعلية	interaktive Erklärungen freischalten	鍵がかかった説明文を有効にする	Interaktív magyarázatok feloldása	Desbloquear as explicações da prova
cookies_usage	Accept Matomo	Accepter Matomo	Aceptar Matomo	Αποδοχή του Matomo	Accetta Matomo	قبول Matomo	Matomo akzeptieren	Matomoを許可する	Matomo elfogadása	Aceitar Matomo
storage_usage	Keep my preferences	Conserver mes préférences	Conserver mis preferencias	Κρατήστε τις προτιμήσεις μου	Mantieni le mie preferenze	حافظ على تفضيلاتي	Vorlieben behalten	設定を保存	Beállításaim megtartása	Manter minhas preferências
drawer_settings_title	Settings	Paramètres	Configuración	Ρυθμίσεις	Impostazioni	الإعدادات	Einstellungen	設定	Beállítások	Configurações
drawer_settings_language	Language	Langue	Idioma	Γλώσσα	Lingua	اللغة	Sprache	言語	Nyelv	Idioma
drawer_settings_theme	Theme	Thème	Tema	Θέμα	Tema	سمة	Thema	テーマ	Téma	Tema
drawer_settings_font_size	Font size	Taille de police	Tamaño de fuente	Μέγεθος γραμματοσειράς	Dimensione carattere	حجم الخط	Schriftgröße	フォントサイズ	Betűméret	Tamanho da fonte
drawer_settings_other_preferences	Other preferences	Autres préférences	Otras preferencias	Άλλες προτιμήσεις	Altre preferenze	تفضيلات أخرى	Weitere Einstellungen	その他の設定	Egyéb beállítások	Outras preferências